image,source,headline,label,explanation,Inaccurate reasoning (Yes/No),Explanation states opinion (Yes/No),Explanation uses commonsense reasoning (Yes/No),Explanation uses knowledge of specific events (Yes/No),Explanation uses domain knowledge (Yes/No)
True/non-medical/is-there-purge-john-harwood-cnn-exit-viewed-as-strategy-shift2022-09-03-21-18-14.jpg,WASHINGTONPOST.COM,'Is there a purge?' : John Harwood'$ CNN exit viewed as strategy shift,True,"John Harwood's exit from CNN suggests a potential shift in the network's strategy. This comes amid speculations of a 'purge' where the network might be looking to change its line-up of journalists and correspondents. Harwood's departure may symbolize this shift, indicating a possible change in the direction of content and reporting at CNN.",No, Yes,Yes,Yes,Yes
True/non-medical/the-seeds-of-biden-democracy-speech-sprouted-long-before-the-mar-lago-search2022-09-03-22-11-30.jpg,POLITICO.COM,The seeds of Biden'$ democracy speech sprouted long before the Mar-a-Lago search,True,"The headline signifies that President Biden's powerful speech addressing the importance of democracy didn't just arise from recent events like the Mar-a-Lago search. Instead, it evolved over time, influenced by the political climate and key issues facing the nation, symbolizing his long-standing commitment to democracy and democratic principles.",No,No,Yes,No,Yes
True/non-medical/bill-bennett-on-falling-reading-and-math-scores-devastation-is-the-right-word2022-09-03-22-38-35.jpg,FOXNEWS.COM,Bill Bennett on falling reading and math scores: 'Devastation is the right word',True,"The headline is true as it cites Bill Bennett, a respected education figure and former Secretary of Education, expressing his opinion on declining reading and math scores. His use of the term ""devastation"" implies that he views this as a severe issue with serious potential impacts, hence making the assertion in the headline accurate.",No,No,Yes,No,Yes
True/non-medical/from-china-to-mexico-to-nyc-how-fentanyl-became-weapon-of-mass-destruction-in-the-us2022-09-03-22-43-17.jpg,NYPOSTCOM,From China to Mexico to NYC: How fentanyl became 'a weapon of mass destruction' in the US,True,"Fentanyl, originating primarily from China, has spread vastly across the US, including Mexico and NYC. Its high potency and easy accessibility have caused a sharp increase in drug overdose deaths, leading to a public health crisis. This potency, ease of production, and widespread distribution have made it a serious threat, often likened to a 'weapon of mass destruction'.",No,No,Yes,Yes,Yes
True/non-medical/border-patrol-agents-arrest-dozens-of-illegal-immigrant-criminals-gang-members2022-09-03-22-36-49.jpg,FOXNEWS.COM,"Border Patrol agents arrest dozens of illegal immigrant criminals, gang members",True,"This headline is true as it reports on the actions of Border Patrol agents who have apprehended a number of individuals attempting illegal entry into the country, identifying them as criminals or gang members. Various law enforcement agencies regularly release information about such operations, making it possible for the media to report on them.",No,No,Yes,Yes,Yes
True/non-medical/at-cpac-some-trump-supporters-aren-totally-in-love-with-the-idea-of-2024-run2022-09-03-22-10-54.jpg,NPR.ORG,"At CPAC, some Trump supporters aren't totally in love with the idea of a 2024 run",True,"Despite Donald Trump's immense popularity amongst his supporters, there are some, as observed during the Conservative Political Action Conference (CPAC), who have reservations about a potential 2024 run. These concerns often stem from a desire for fresh faces in the Republican leadership and fears that his divisive reputation might hinder the party's future prospects.",No,No,Yes,Yes,Yes
True/non-medical/trump-revives-claims-biden-has-dementia-after-anti-maga-speech2022-09-03-22-43-07.jpg,WASHINGTONTIMES.COM,Trump revives claims Biden has dementia after anti-MAGA speech,True,"The headline states a fact that Donald Trump has reasserted claims of Joe Biden having dementia, following what is described as an 'anti-MAGA' speech by Biden. Trump, on various occasions, has publicly questioned Biden's mental faculties, and this represents a continuation of that argument. The headline is therefore true as it accurately captures Trump's actions.",No,No,Yes,Yes,Yes
True/non-medical/post-politics-now-biden-signs-legislation-aiding-veterans-trump-takes-the-fifth2022-09-03-22-17-31.jpg,WASHINGTONPOSTCOM,Post Politics Now: Biden signs legislation aiding veterans; Trump takes the Fifth,True,"This headline is considered true because it narrates two factual events. The first part states that President Biden has signed a legislative piece meant to assist veterans, which is a responsibility of his office. The second part mentions that former President Trump has invoked the Fifth Amendment - a legal provision that allows a person to refuse to answer questions to avoid self-incrimination. Both events are plausible and reflect actions within their respective political roles.",No,No,Yes,Yes,Yes
True/non-medical/biden-anti-maga-speech-was-ridiculous-campaign-pac-chair2022-09-03-22-39-27.jpg,FOXNEWS.COM,Biden’s anti-MAGA speech was ‘ridiculous’: Campaign PAC chair,True,"This headline is considered 'true' because it is based on a genuine statement provided by a Campaign PAC chair, who characterized Biden's anti-MAGA speech as 'ridiculous'. The headline accurately captures the sentiments of the quoted source making it an actual reflection of occurred events.",No,No,Yes,Yes,Yes
True/non-medical/scrutiny-builds-over-fbi-discovery-of-empty-folders-at-mar-lago2022-09-03-21-12-39.jpg,THEHILL.COM,Scrutiny builds over FBI’s discovery of empty folders at Mar-a-Lago,True,"The headline is true as it suggests that there is increasing inspection and investigation into the FBI's report of finding empty folders at Mar-a-Lago, President Trump's Florida resort. This development seems to spark interest and potential concern, causing a surge in scrutiny from various stakeholders.",No,No,Yes,Yes,Yes
True/non-medical/melania-trump-felt-violated-by-fbi-agents-contaminating-her-bedroom-during-mar-lago-raid-report-says2022-09-03-21-55-27.jpg,BUSINESSINSIDER.COM,"Melania Trump felt violated by FBl agents 'contaminating her bedroom during Mar-a-Lago raid, report says",True,"This headline refers to a reported reaction from Melania Trump after FBI agents carried out a raid at Mar-a-Lago, her residence. Allegedly, Melania felt violated when agents 'contaminated' her space during their search. This is based on an insider's statements, as detailed in the media report.",No,No,Yes,Yes,No
True/non-medical/arizona-democratic-lawmaker-who-just-won-senate-primary-resigns2022-09-03-22-38-44.jpg,FOXNEWS.COM,Arizona Democratic lawmaker who just won Senate primary resigns,True,"The headline is true because the specified Arizona Democratic lawmaker successfully won the Senate primary, suggesting they are the Democratic nominee for the forthcoming general Senate election. However, they decided to resign from their current political position or the candidacy for unmentioned reasons, hence validating the headline.",No,No,Yes,Yes,Yes
True/non-medical/biden-has-369-billion-climate-plan-and-new-advisers-to-get-the-program-running2022-09-03-21-15-35.jpg,NPR.ORG,Biden has a $369 billion climate plan - and new advisers to get the program running,True,"Biden announced a $369 billion climate plan signaling his commitment to tackling climate crisis. This plan aims at making infrastructure more resilient to climate change and promoting clean energy. To ensure smooth implementation, he has appointed a new team of advisers who are experts in the field, suggesting preparedness to advance the program.",No,No,Yes,Yes,Yes
True/non-medical/biden-policies-have-not-revived-scranton-but-few-there-blame-him2022-09-03-22-18-17.jpg,WASHINGTONPOST.COM,Biden’s policies have not revived Scranton. But few there blame him.,True,"Despite being Biden's hometown, Scranton hasn't seen significant economic improvement under his policies. However, locals predominantly don't hold Biden responsible, often attributing the city's struggles to bigger, systematic issues beyond the President's immediate influence. Therefore, the sentiment within the headline holds true.",No,No,Yes,Yes,Yes
True/non-medical/the-jobs-report-could-be-seen-as-good-news-for-biden2022-09-03-21-19-28.jpg,NYTIMES.COM,The Jobs Report Could Be Seen as Good News for Biden Slowing job growth and rising worker participation follow the president'$ roa .=,True,"The jobs report can be seen as good news for President Biden because while job growth is slowing, it could indicate that existing jobs are being filled, reducing unemployment. Furthermore, rising worker participation means more people are actively seeking employment, signaling faith in the job market under Biden's administration. That's why this situation could be viewed favorably for the President.",No,Yes,Yes,Yes,Yes
True/non-medical/house-jan-committee-requests-newt-gingrich-appear-for-voluntary-interview2022-09-03-22-45-34.jpg,WASHINGTONTIMES.COM,House Jan: 6 committee requests Newt Gingrich appear for voluntary interview,True,"The House committee investigating the January 6 Capitol attack has indeed asked former Speaker of the House Newt Gingrich to voluntarily participate in an interview. This is true because the committee is seeking insights from key political figures about the events leading up to and following the attack. Gingrich, a prominent Republican figure, can potentially provide significant information.",No,No,Yes,Yes,Yes
True/non-medical/lee-zeldin-trails-gov-kathy-hochul-by-just-points-new-poll-finds2022-09-03-22-46-02.jpg,NYPOST.COM,"Lee Zeldin trails Gov. Kathy Hochul by just 4 points, new poll finds",True,"The headline 'Lee Zeldin trails Gov. Kathy Hochul by just 4 points, new poll finds' is true because a recent poll has indicated that the difference in popularity or potential voting support between these two political figures—Lee Zeldin and Governor Kathy Hochul—is only 4 percentage points. This suggests a close race in their political contest.",No,No,Yes,Yes,Yes
True/non-medical/digital-world-acquisition-corp-urges-shareholders-to-delay-merger-with-trump-media2022-09-03-21-36-58.jpg,CNBC.COM,Digital World Acquisition Corp urges shareholders to delay merger with Trump Media,True,"Digital World Acquisition Corp is currently under scrutiny by financial regulators for potential disclosure violations, which could impact the proposed merger with Trump Media. The company is encouraging its shareholders to postpone the merger decision until the investigation is concluded to avoid potential legal and financial issues.",No,No,Yes,Yes,Yes
True/non-medical/ex-nypd-officer-sentenced-to-record-10-years-for-jan-riot2022-09-03-21-20-53.jpg,APNEWS.COM,Ex-NYPD officer sentenced to record 10 years for Jan. 6 riot,True,The headline is true as it reports a landmark sentence in connection with the January 6th riot at the U.S. Capitol. The individual involved is a former New York Police Department officer who received a historic 10-year prison term. This sentence marks the longest prison term given to an individual for their role in the January 6th events.,No,No,Yes,Yes,Yes
True/non-medical/why-isn-biden-ever-on-tv2022-09-03-22-28-08.jpg,NYTIMES.COM,Why Isn't Biden Ever on TV? Americans are seeing a lot less of the president than they did of his ..,True,"President Biden tends to stake a less dominant presence in the media spotlight than his predecessor, adopting a more traditional approach to his office. He often deploys aides and advisers to represent his administration on TV. His communication style focuses more on scripted addresses and formal press conferences.",No,No,Yes,Yes,Yes
True/non-medical/post-politics-now-biden-democrats-plan-grand-celebration-next-month-of-inflation-reduction-act2022-09-03-22-27-09.jpg,WASHINGTONPOST.COM,"Post Politics Now: Biden, Democrats plan grand celebration next month of Inflation Reduction Act",True,"This headline is true because it announces the plan of President Biden and the Democrats to celebrate the Inflation Reduction Act. This event is set to occur next month, showcasing their commitment to tackling economic challenges and enhancing financial stability for Americans. The inclusion of a timeline and specific policy shows the detailed nature of their plan.",No,No,Yes,Yes,Yes
True/non-medical/there-enormous-frustration-trump-forces-republicans-off-script-again2022-09-03-21-51-05.jpg,POLITICO.COM,'There' $ enormous frustration' : Trump forces Republicans off-script__. again,True,"The headline implies that Trump, with his unpredictable actions and statements, constantly pushes the Republican party off their planned course or ""script."" The ""enormous frustration"" refers to the difficulty party members face in aligning with Trump's approach, diverging from traditional protocol, adding to their challenges in maintaining a unified front.",No,No,Yes,No,Yes
True/non-medical/it-too-hot-los-angeles-melts-under-its-worst-heatwave-of-the-year2022-09-03-21-17-02.jpg,THEGUARDIAN.COM,'It's too hot' : Los Angeles melts under its worst heatwave of the year,True,"The headline is true because Los Angeles is currently experiencing extremely high temperatures, possibly the highest for the year so far. This severe weather is causing discomfort and potential health risks to the city's inhabitants, who are struggling to cope with the intense heat. The term ""melts"" is figurative, implying the severity of the heatwave.",No,No,Yes,Yes,Yes
True/non-medical/biden-warns-that-american-values-are-under-assault-by-trump-led-extremism2022-09-03-22-04-10.jpg,NYTIMES.COM,Biden Warns That American Values Are Under Assault by Trump-Led Extremism,True,"The headline asserts Biden's view on the perceived attack on American values by Trump-led extremism. Biden has expressed concern that Trump's administration and supporters, including the January 6th Capitol attack, are endangering democratic principles like equality, justice, and the rule of law. This perspective reflects Biden's campaign promise to protect and restore these values.",No,No,Yes,Yes,Yes
True/non-medical/florida-pair-pleads-guilty-in-theft-of-biden-daughter-diary2022-09-03-22-22-31.jpg,NYTIMES.COM,Florida Pair Pleads Guilty in Theft of Biden's Daughter's Diary,True,"The headline is true because two individuals in Florida confessed to stealing and attempting to distribute a diary believed to belong to Ashley Biden, daughter of President Joe Biden. The pair was associated with Project Veritas, a conservative activist group. They admitted to the charges in court, therefore pleading guilty.",No,No,Yes,Yes,Yes
True/non-medical/trump-truth-social-barred-from-google-play-store-over-content-moderation-concerns2022-09-03-21-55-19.jpg,CNBC.COM,Trump’s Truth Social barred from Google Play store over content moderation concerns,True,Google Play Store banned Trump's Truth Social app due to concerns over its content moderation policies. The tech giant has certain rules regarding user generated content that all apps must comply with to be hosted on its platform. Google did not believe Truth Social was in compliance with these policies.,No,No,Yes,Yes,Yes
True/non-medical/trump-plots-aggressive-midterm-strategy-seen-in-gop-as-double-edged-sword2022-09-03-21-36-47.jpg,WASHINGTONPOST.COM,Trump plots aggressive midterm strategy seen in GOP as double-edged sword,True,"The headline is seen as 'true' because it indicates Trump's plans for an assertive midterm strategy, which some in the GOP view as a double-edged sword. This means while the strategy could potentially gain huge success, it might also bring significant problems or consequences, generating a polarized viewpoint within the party. Hence, the benefit or detriment will depend on the outcome of the strategy.",No,No,Yes,No,Yes
True/non-medical/wisconsin-activist-who-ordered-absentee-ballots-in-others-names-charged-with-election-fraud-id-theft2022-09-03-21-15-51.jpg,NBCNEWS.COM,"Wisconsin activist who ordered absentee ballots in others' names charged with election fraud, ID theft",True,"The headline is true because it contains factual information about a criminal charge. The implicated activist from Wisconsin has been accused of election fraud and identity theft. They supposedly ordered absentee ballots using other people's names, which is a direct violation of election laws, hence the fraud charges.",No,No,Yes,Yes,Yes
True/non-medical/iran-releases-drones-seized-in-red-sea-after-s-navy-intervenes2022-09-03-21-14-10.jpg,WASHINGTONPOST.COM,Iran releases drones seized in Red Sea after U.S. Navy intervenes,True,"The headline is true because it details an actual event where Iran released drones that it had captured in the Red Sea. The U.S. Navy had intervened in this situation, prompting Iran to let the drones go. This incident is noted in credible news reports and widely documented, thus lending truth to the statement.",No,No,Yes,Yes,Yes
True/non-medical/trump-is-heading-to-pennsylvania-to-make-his-case-so-is-biden2022-09-03-21-53-35.jpg,POLITICO.COM,Trump is heading to Pennsylvania to make his case. So is Biden.,True,"Both President Trump and presidential candidate Joe Biden are reported to be travelling to Pennsylvania for campaign purposes. Sen the competitive nature of the state in elections, this is an opportunity for both to plead their case to voters directly, hence the headline.",No,No,Yes,Yes,Yes
True/non-medical/trump-and-accounting-firm-agree-to-give-financial-records-to-house-oversight-committee-in-deal-to-en2022-09-03-21-53-59.jpg,CNBC.COM,Trump and accounting firm agree to give financial records to House Oversight Committee in deal to end court battle,True,"This headline is true because former President Donald Trump and his accounting firm, Mazars USA, settled a lengthy legal dispute with the House Oversight and Reform Committee by agreeing to provide access to Trump's financial records. This decision effectively ends the court battle over the former President's tax returns and other financial documents.",No,No,Yes,Yes,Yes
True/non-medical/house-conservatives-prep-plans-to-impeach-biden2022-09-03-22-20-52.jpg,THEHILL.COM,House conservatives prep plans to impeach Biden,True,"Some conservative members of the House of Representatives have indeed developed plans to impeach President Biden. They argue, among other things, that he has exceeded his constitutional authority, particularly in areas like immigration. However, it's essential to note that this is part of a political strategy and the initiation of impeachment proceedings requires significant support in the House, which is currently controlled by Democrats.",No,No,Yes,Yes,Yes
True/non-medical/anti-trump-gop-group-spends-big-to-shrink-his-base2022-09-03-22-05-42.jpg,POLITICO.COM,Anti-Trump GOP group spends big to shrink his base - The nonprofit arm of the Republican Accountability Project is launching ads.,True,"This headline is true because it reports on the actions of the Republican Accountability Project's nonprofit arm. They are spending a significant amount of money on ads, aiming to reduce President Trump’s support within the GOP. This can be seen as a fact-based assessment of current political dynamics within the Republican Party.",No,No,Yes,Yes,Yes
True/non-medical/trump-lashes-out-at-barr-for-defending-doj-search-at-mar-lago2022-09-03-21-20-37.jpg,AXIOS.COM,Trump lashes out at Barr for defending DOJ search at Mar-a-Lago,True,"The headline is true because former President Donald Trump expressed dissatisfaction towards his former Attorney General, William Barr, for supporting a search conducted by the Department of Justice at his Mar-a-Lago property. Barr defended the action as due process, sparking Trump's ire, which he expressed publicly, therefore, validating the described headline.",No,No,Yes,Yes,Yes
True/non-medical/trump-embraces-conspiracy-theories-he-only-winked-at-before2022-09-03-21-50-47.jpg,NYTIMES.COM,Trump Embraces Conspiracy Theories He Only Winked at Before,True,"The headline suggests that Trump is now openly supporting conspiracy theories that he only subtly hinted at in the past. During his presidency, Trump often gave slight indications of conspiracy beliefs without explicitly endorsing them. This shift in behavior showcases an increased willingness to publicly support these theories.",No,No,Yes,Yes,Yes
True/non-medical/correspondent-abruptly-leaves-cnn-after-calling-trump-demagogue2022-09-03-21-54-07.jpg,THEGUARDIAN.COM,Correspondent abruptly leaves CNN after calling Trump a 'demagogue',True,"The headline is true because it reflects an actual event where a correspondent resigned from CNN following their public description of Donald Trump as a 'demagogue.' The remark potentially compromised their professional objectivity as a journalist, leading to their departure from the network.",No,No,Yes,Yes,Yes
True/non-medical/grassley-warns-ag-garland-to-back-off-from-fbi-whistleblowers2022-09-03-22-44-29.jpg,WASHINGTONTIMES.COM,Grassley warns AG Garland to back off from FBI whistleblowers,True,"Senator Chuck Grassley issued a warning to Attorney General Merrick Garland, urging him not to interfere with FBI whistleblowers. Grassley's statement followed reports that the Department of Justice was considering taking action against whistleblowers, which could potentially hinder transparency and accountability in the agency. His warning emphasizes the importance of protecting those who point out wrongdoing within large organizations.",No,No,Yes,Yes,Yes
True/non-medical/both-parties-flood-new-hampshire-with-ads-about-the-same-senate-candidate2022-09-03-21-16-35.jpg,NYTIMES.COM,Both Parties Flood New Hampshire With Ads About the Same Senate Candidate,True,"This headline is true as it indicates that both the Democratic and Republican parties are heavily advertising in New Hampshire about the same Senate candidate. The parties might be targeting the same candidate for different reasons - one party promoting them while the other attempts to discredit them, indicating a high-stakes race.",No,No,Yes,No,No
True/non-medical/sen-lindsey-graham-says-he-was-stating-the-obvious-with-trump-riots-claim2022-09-03-21-34-57.jpg,CNBC.COM,Sen. Lindsey Graham says he was stating the obvious with Trump riots claim,True,"Senator Lindsey Graham indeed made statements pertaining to the Trump riots, implying that former President Trump's inflammatory rhetoric had a role in inciting the Capitol riots on January 6th, 2021. His comments suggest that he believed this was obvious to most people, confirming the truthfulness of the headline.",No,No,Yes,Yes,Yes
True/non-medical/in-fiery-midterm-speech-biden-says-gop-turned-toward-semi-fascism2022-09-03-22-02-59.jpg,WASHINGTONPOST.COM,"In fiery midterm speech, Biden says GOP'$ turned toward 'semi-fascism'",True,"In his fiery midterm speech, President Biden referred to some actions of the GOP as having parallels to 'semi-fascism'. He expressed concerns about the party's efforts to curtail voting rights and undermining democratic processes, which, in his view, line up with characteristics of extreme right-wing, authoritarian ideologies like fascism. He used this dramatic language to emphasize his contention about the serious shift in the political landscape.",No,No,Yes,Yes,Yes
True/non-medical/biden-administration-approves-more-than-1b-in-arms-sales-to-taiwan2022-09-03-22-18-26.jpg,CNN.COM,Biden administration approves more than $1.1B in arms sales to Taiwan,True,"The Biden administration has given approval for a significant arms sale to Taiwan. This deal, exceeding $1.1 billion, supports Taiwan's defense needs against potential threats. The proposal includes multiple hardware components and related services, bolstering Taiwan's military capabilities - hence, making the headline 'Biden administration approves more than $1.1B in arms sales to Taiwan' true.",No,No,Yes,Yes,Yes
True/non-medical/biden-officials-see-second-chance-to-promote-last-year-infrastructure-law-with-projects-underway2022-09-03-22-21-23.jpg,CNN.COM,Biden officials see a second chance to promote last year's infrastructure law with projects underway,True,"The Biden administration views the ongoing infrastructure projects as an opportunity to showcase the practical benefits of the infrastructure law passed last year. They believe this provides a second chance to promote the law by letting the public see its impact, reinforcing its importance and relevance.",No,No,Yes,Yes,Yes
True/non-medical/trump-takes-the-fifth2022-09-03-22-05-33.jpg,POLITICO.COM,Trump takes the Fifth The former president invoked his constitutional right against self-incriminati:,True,"Donald Trump chose to invoke his Fifth Amendment right, which protects a person from self-incrimination. This decision implies that he declined to answer questions in a legal proceeding to avoid providing evidence that might be used against him. This constitutional right is often used in situations where a person faces potential criminal liability.",No,No,Yes,Yes,Yes
True/non-medical/a-victory-for-biden-and-bet-on-america-future2022-09-03-22-26-01.jpg,NYTIMES.COM,"A Victory for Biden, and a Bet on America’s Future",True,"The headline suggests a two-fold significance: a triumph for Biden signifies his successful election as President, underpinning the faith placed on him to lead the nation. The ‘bet on America’s future’ likely refers to the hopeful anticipation of positive changes and advancements in various aspects under Biden's administration, suggesting optimism for America's future.",No,No,Yes,No,Yes
True/non-medical/donovan-lewis-shooting-underscores-persistent-threat-that-black-people-feel-in-columbus2022-09-03-21-20-28.jpg,CNN.COM,Donovan Lewis shooting underscores 'persistent' threat that Black people feel in Columbus,True,"The headline is considered true based on the incident involving Donovan Lewis, a Black man who was shot in Columbus. This incident, along with previous ones, emphasizes the constant threat many Black individuals report experiencing in the area. Systemic racism, documented police violence, and racial profiling has led to a pervasive sense of fear and insecurity among the Black community in Columbus.",No,No,Yes,Yes,Yes
True/non-medical/historians-privately-warn-biden-that-america-democracy-is-teetering2022-09-03-22-20-42.jpg,WASHINGTONPOST.COM,Historians privately warn Biden that America'$ democracy is teetering,True,"Historians have reportedly been expressing concerns about the state of America's democracy due to rising political polarization, misinformation, and contested election results. They've conveyed these concerns to President Biden, highlighting historical patterns that suggest democracies can decline when political norms are systematically broken over time. The previous administration's disregard for traditions and institutions allegedly created profound disruptions, leading these historians to warn about a possibly precarious future for American democracy.",No,No,Yes,Yes,Yes
True/non-medical/promoting-his-memoir-kushner-offers-tortured-defenses-of-trump2022-09-03-22-03-57.jpg,NYTIMES.COM,Promoting His Memoir; Kushner Offers Tortured Defenses of Trump,True,"Jared Kushner, in an effort to promote his upcoming memoir, has been explaining and defending some controversial actions and decisions made by former president Donald Trump. These explanations, seen as attempts to justify perceived missteps and failures, have been criticized as being tortured or strained, hence leading to such characterization in the headline.",No,No,Yes,Yes,Yes
True/non-medical/hats-off-to-hillary-prosecuting-trump-in-the-shadow-of-clinton-emails2022-09-03-21-48-31.jpg,THEHILL.COM,Hats off to Hillary: Prosecuting Trump in the shadow of Clinton’s emails,True,"The headline implies that despite the scrutiny Hillary Clinton faced over her emails, her criticisms of Trump's actions and calls for his prosecution are still gaining traction. This could be seen as her overcoming adversity in the political arena, hence the phrase ""Hats off to Hillary"". It highlights the controversy of Trump's actions in comparison to Clinton's email scandal.",No,No,Yes,Yes,Yes
True/non-medical/jackson-new-worry-more-water-pressure-could-break-pipes2022-09-03-21-15-28.jpg,APNEWS.COM,Jackson’s new worry: More water pressure could break pipes,True,"Water pipes are designed to handle a specific range of pressure. If the water pressure gets too high, it may exceed the pipe's tolerance, leading to pipes cracking or bursting. Hence, in Jackson, an increase in water pressure could potentially lead to more broken pipes, becoming a new concern for the city.",No,No,Yes,No,Yes
True/non-medical/biden-goal-to-end-hunger-by-2030-and-his-new-food-conference-explained2022-09-03-22-26-09.jpg,NPR.ORG,"Biden's goal to end hunger by 2030 and his new food conference, explained",True,"President Joe Biden has expressed a goal to eradicate hunger in America by 2030, reflecting the United Nations' Sustainable Development Goals. He is planning to organize a food conference - an opportunity to discuss and formulate policies and initiatives to achieve this aim. This conference would involve stakeholders from various sectors, highlighting the crucial intersection of agriculture, climate change, and nutrition. Hence, the headline outlining Biden's ambitions and the planned conference is indeed factual.",No,No,Yes,Yes,Yes
True/non-medical/the-dangers-of-trump-prosecution-syndrome2022-09-03-21-56-30.jpg,NEWYORKER.COM,The Dangers of Trump-Prosecution Syndrome The evidence that the former President mishandled classified documents is.,True,"The headline states that Trump-Prosecution Syndrome could be dangerous, as it highlights the alleged mishandling of classified documents by the former President. The term ""Trump-Prosecution Syndrome"" refers to the perceived hyper-focus on prosecuting Trump for potential legal transgressions, which can overshadow the importance of due process and impartial examination of the evidence. In this case, the evidence pertains to the handling of classified information. Therefore, the headline is true, not in a literal sense that there's a medical syndrome, but to emphasize on the controversy surrounding Trump's handling of classified information.",No,No,Yes,Yes,Yes
True/non-medical/garland-perilous-path-to-prosecuting-trump2022-09-03-21-56-50.jpg,POLITICO.COM,Garland’s perilous path to prosecuting Trump The attorney general has multiple hurdles to overcome if he really wants to_,True,"Prosecuting a former president is unprecedented and carries political implications. Attorney General Garland would face various legal challenges, including establishing clear evidence and intent of wrongdoing, surpassing the high bar for prosecution in cases of obstruction of justice, and dealing with possible defenses like executive privilege. Additionally, it could be seen as a politicized move, causing division.",No,Yes,Yes,Yes,Yes
True/non-medical/the-final-days-of-the-trump-white-house-chaos-and-scattered-papers2022-09-03-22-09-44.jpg,NYTIMES.COM,The Final Days of the Trump White House: Chaos and Scattered Papers,True,"The headline is true as it refers to reports of the last days of Donald Trump's presidency, which were characterized by political turmoil and disorder. This period saw a flurry of last-minute policy decisions, controversial pardons, and accusations of incitement of violence. The 'scattered papers' metaphorically capture the administrative confusion and disorder in this time frame.",No,No,Yes,Yes,Yes
True/non-medical/trump-white-house-counsel-cipollone-appears-before-jan-grand-jury2022-09-03-21-15-05.jpg,WASHINGTONPOST.COM,Trump White House counsel Cipollone appears before Jan. 6 grand jury,True,"The headline is true because Pat Cipollone, who served as White House counsel during Trump's presidency, has testified before a grand jury regarding the events of January 6, when a group of Trump supporters stormed the U.S. Capitol. This is part of a larger investigation being conducted to uncover the circumstances leading up to and following the incident.",No,No,Yes,Yes,Yes
True/non-medical/trump-ally-lindsey-graham-must-testify-in-georgia-grand-jury-investigation-federal-judge-rules2022-09-03-21-26-53.jpg,USATODAY.COM,"Trump ally Lindsey Graham must testify in Georgia grand jury investigation, federal judge rules",True,"The headline is true because a federal judge has ruled that Senator Lindsey Graham, a known ally of former President Donald Trump, must testify in a Georgia grand jury investigation. This investigation is related to potential violations of election law in Georgia.",No,No,Yes,Yes,Yes
True/non-medical/trump-thinks-the-mar-lago-search-will-help-him-in-2024-some-allies-aren-so-sure2022-09-03-21-49-32.jpg,NBCNEWS.COM,Trump thinks the Mar-a-Lago search will help him in 2024. Some allies aren't so sure.,True,"This headline is true as it reflects the differing perspectives within Trump's circle. Trump believes that the search of his Mar-a-Lago property by federal investigators could prove advantageous for his potential 2024 presidential campaign, likely by rallying supporters around perceived victimization. However, some of his allies are not as confident, fearing that the investigation could uncover damaging information or distract from his campaign message.",No,No,Yes,Yes,Yes
True/non-medical/trump-hosted-all-these-people-in-his-mar-lago-office-where-he-stashed-government-secrets2022-09-03-21-38-10.jpg,FORBES.COM,Trump Hosted All These People In His Mar-A-Lago Office Where He'd Stashed Government Secrets,True,"The headline is considered true because ex-President Donald Trump frequently hosted individuals, some of whom were private citizens, in his Mar-a-Lago office while still in office. Given that he was the President, he had access to government secrets and potentially could have shared sensitive information within this private setting, causing concerns around security. A lack of official documentation around these gatherings fuels speculation. However, there isn't clear evidence to confirm secretive information was stashed or exposed specifically.",No,No,Yes,Yes,Yes
True/non-medical/how-donald-trump-ruined-jared-kushner-surprise-marriage-proposal-to-ivanka2022-09-03-22-06-38.jpg,YAHOO.COM,How Donald Trump ruined Jared Kushner's surprise marriage proposal to Ivanka,True,Donald Trump inadvertently spoiled Jared Kushner's surprise proposal to Ivanka by revealing it during a public interview before Kushner had the chance to officially propose. His comments unknowingly took away the element of surprise from Kushner's planned proposal.,No,No,Yes,Yes,No
True/non-medical/post-politics-now-biden-hails-latest-s-report-of-solid-month-of-job-gains2022-09-03-22-04-56.jpg,WASHINGTONPOST.COM,Post Politics Now: Biden hails latest U.S. report of solid month of job gains,True,"The headline is true as it refers to a recent monthly jobs report that showed positive growth in the U.S. labor market. President Biden expressed his approval and satisfaction over these figures, affirming that the administration's policies were effectively pushing the economy forward. Hence the title 'Biden hails latest U.S. report of solid month of job gains' is accurate.",No,No,Yes,Yes,Yes
True/non-medical/trump-rakes-in-millions-off-fbi-search-at-mar-lago2022-09-03-22-01-57.jpg,WASHINGTONPOST.COM,Trump rakes in millions off FBI search at Mar-a-Lago The former president's political fundraising surged to over $1 million a day_,True,"The headline is true as it refers to the increase in political fundraising for former President Trump following an FBI search at his Mar-a-Lago estate. This event drew significant media attention which indirectly boosted his publicity, leading to an increase in donations that went over $1 million per day.",No,No,Yes,Yes,Yes
True/non-medical/georgia-investigators-seek-testimony-from-leader-of-black-voices-for-trump-before-special-grand-jury2022-09-03-21-15-59.jpg,CNN.COM,Georgia investigators seek testimony from a leader of ‘Black Voices for Trump’ before special grand jury,True,"Georgia investigators are reportedly seeking testimony from Bruce LeVell, a leader of 'Black Voices for Trump', as part of their investigation into former President Donald Trump's attempt to overturn the state's 2020 election results. LeVell is expected to appear before a special grand jury to provide evidence regarding the matter.",No,No,Yes,Yes,Yes
